Agent 1 Trajectory:
```
Vehicle ID: C1
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 150, 0, 25, 0
0.1, 152.5, 0, 25, 0
0.2, 155, 0, 25, 0
0.3, 157.5, 0, 25, 0
0.4, 160, 0, 25, 0
0.5, 162.5, 0, 25, 0
0.6, 165, 0, 25, 0
0.7, 167.5, 0, 25, 0
0.8, 170, 0, 25, 0
0.9, 172.5, 0, 25, 0
1.0, 175, 0, 25, 0
1.1, 177.5, 0, 25, 0
1.2, 180, 0, 25, 0
1.3, 182.5, 0, 25, 0
1.4, 185, 0, 25, 0
1.5, 187.5, 0, 25, 0
1.6, 190, 0, 25, 0
1.7, 192.5, 0, 25, 0
1.8, 195, 0, 25, 0
1.9, 197.5, 0, 25, 0
2.0, 200, 0, 25, 0
2.1, 202.5, 0, 25, 0
2.2, 205, 0, 25, 0
2.3, 207.5, 0, 25, 0
2.4, 210, 0, 25, 0
2.5, 212.5, 0, 25, 0
2.6, 215, 0, 25, 0
2.7, 217.5, 0, 25, 0
2.8, 220, 0, 25, 0
2.9, 222.5, 0, 25, 0
3.0, 225, 0, 25, 0
3.1, 227.5, 0, 25, 0
3.2, 230, 0, 25, 0
3.3, 232.5, 0, 25, 0
3.4, 235, 0, 25, 0
3.5, 237.5, 0, 25, 0
3.6, 240, 0, 25, 0
3.7, 242.5, 0, 25, 0
3.8, 245, 0, 25, 0
3.9, 247.5, 0, 25, 0
4.0, 250, 0, 25, 0
4.1, 252.5, 0, 25, 0
4.2, 255, 0, 25, 0
4.3, 257.5, 0, 25, 0
4.4, 260, 0, 25, 0
4.5, 262.5, 0, 25, 0
4.6, 265, 0, 25, 0
4.7, 267.5, 0, 25, 0
4.8, 270, 0, 25, 0
4.9, 272.5, 0, 25, 0
5.0, 275, 0, 25, 0
5.1, 277.5, 0, 25, 0
5.2, 280, 0, 25, 0
5.3, 282.5, 0, 25, 0
5.4, 285, 0, 25, 0
5.5, 287.5, 0, 25, 0
5.6, 290, 0, 25, 0
5.7, 292.5, 0, 25, 0
5.8, 295, 0, 25, 0
5.9, 297.5, 0, 25, 0
6.0, 300, 0, 25, 0
6.1, 302.5, 0, 25, 0
6.2, 305, 0, 25, 0
6.3, 307.5, 0, 25, 0
6.4, 310, 0, 25, 0
6.5, 312.5, 0, 25, 0
6.6, 315, 0, 25, 0
6.7, 317.5, 0, 25, 0
6.8, 320, 0, 25, 0
6.9, 322.5, 0, 25, 0
7.0, 325, 0, 25, 0
7.1, 327.5, 0, 25, 0
7.2, 330, 0, 25, 0
7.3, 332.5, 0, 25, 0
7.4, 335, 0, 25, 0
7.5, 337.5, 0, 25, 0
7.6, 340, 0, 25, 0
7.7, 342.5, 0, 25, 0
7.8, 345, 0, 25, 0
7.9, 347.5, 0, 25, 0
8.0, 350, 0, 25, 0
8.1, 352.5, 0, 25, 0
8.2, 355, 0, 25, 0
8.3, 357.5, 0, 25, 0
8.4, 360, 0, 25, 0
8.5, 362.5, 0, 25, 0
8.6, 365, 0, 25, 0
8.7, 367.5, 0, 25, 0
8.8, 370, 0, 25, 0
8.9, 372.5, 0, 25, 0
9.0, 375, 0, 25, 0
9.1, 377.5, 0, 25, 0
9.2, 380, 0, 25, 0
9.3, 382.5, 0, 25, 0
9.4, 385, 0, 25, 0
9.5, 387.5, 0, 25, 0
9.6, 390, 0, 25, 0
9.7, 392.5, 0, 25, 0
9.8, 395, 0, 25, 0
9.9, 397.5, 0, 25, 0
10.0, 400, 0, 25, 0
10.1, 402.5, 0, 25, 0
10.2, 405, 0, 25, 0
10.3, 407.5, 0, 25, 0
10.4, 410, 0, 25, 0
10.5, 412.5, 0, 25, 0
10.6, 415, 0, 25, 0
10.7, 417.5, 0, 25, 0
10.8, 420, 0, 25, 0
10.9, 422.5, 0, 25, 0
11.0, 425, 0, 25, 0
11.1, 427.5, 0, 25, 0
11.2, 430, 0, 25, 0
11.3, 432.5, 0, 25, 0
11.4, 435, 0, 25, 0
11.5, 437.5, 0, 25, 0
11.6, 440, 0, 25, 0
11.7, 442.5, 0, 25, 0
11.8, 445, 0, 25, 0
11.9, 447.5, 0, 25, 0
12.0, 450, 0, 25, 0
12.1, 452.5, 0, 25, 0
12.2, 455, 0, 25, 0
12.3, 457.5, 0, 25, 0
12.4, 460, 0, 25, 0
12.5, 462.5, 0, 25, 0
12.6, 465, 0, 25, 0
12.7, 467.5, 0, 25, 0
12.8, 470, 0, 25, 0
12.9, 472.5, 0, 25, 0
13.0, 475, 0, 25, 0
13.1, 477.5, 0, 25, 0
13.2, 480, 0, 25, 0
13.3, 482.5, 0, 25, 0
13.4, 485, 0, 25, 0
13.5, 487.5, 0, 25, 0
13.6, 490, 0, 25, 0
13.7, 492.5, 0, 25, 0
13.8, 495, 0, 25, 0
13.9, 497.5, 0, 25, 0
14.0, 500, 0, 25, 0
14.1, 502.5, 0, 25, 0
