[SCENARIO_DESCRIPTION]
This scenario takes place on a 4-lane highway. The ego vehicle (Vehicle 100) is attempting to merge from an on-ramp (represented by lane 7, which merges into lane 6) onto the highway. Vehicle 1 is traveling in lane 5 at a high speed. Vehicle 2 is traveling in lane 2 at a moderate speed. Vehicle 3 is traveling in lane 5, initially ahead of the ego vehicle, but slowing down. Vehicle 4 is traveling in lane 3 at a high speed. Vehicle 5 is traveling in lane 3 at a high speed, slightly ahead of Vehicle 4. Vehicle 31, initially in lane 5, makes an aggressive lane change into lane 6, cutting off the ego vehicle as it attempts to merge. Simultaneously, Vehicle 60, initially in lane 6, begins a lane change into lane 5, further complicating the situation. The ego vehicle must safely merge onto the highway while avoiding collisions with the other vehicles, reacting to the aggressive lane changes of Vehicle 31 and Vehicle 60, and managing its speed relative to Vehicle 1 and Vehicle 3. A disabled vehicle (Vehicle 99) is present on the shoulder (lane 7 after the on-ramp merges), adding a visual distraction and potential hazard.
[/SCENARIO_DESCRIPTION]

[ENHANCEMENT_STRATEGY]
The scenario is made more challenging by:

1.  **Adding an ego vehicle (Vehicle 100) performing a merge maneuver:** Merging is a complex task requiring gap selection, speed matching, and awareness of surrounding vehicles.
2.  **Introducing aggressive lane changes (Vehicle 31 and Vehicle 60):** These sudden maneuvers force the ego vehicle to react quickly and adjust its trajectory.
3.  **Creating conflicting lane changes:** Vehicle 31 and Vehicle 60 are changing lanes in opposite directions, increasing the density of traffic and the likelihood of a collision.
4.  **Adding a disabled vehicle (Vehicle 99) on the shoulder:** This serves as a visual distraction and a potential hazard if the ego vehicle drifts too far to the right.
5.  **Modifying the speeds of existing vehicles:** Vehicles are given speeds that create tighter gaps and require more precise maneuvering from the ego vehicle.
6.  **Introducing an on-ramp (lane 7 merging into lane 6):** This adds complexity to the lane structure and requires the ego vehicle to navigate the merge point.
[/ENHANCEMENT_STRATEGY]

[VEHICLE_TRAJECTORIES]
Vehicle ID: 1 (Car - High-speed vehicle in lane 5)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 362.26, 21.68, 41.07, 0.0
0.5, 382.80, 21.68, 41.07, 0.0
1.0, 403.33, 21.68, 41.07, 0.0
1.5, 423.90, 21.68, 41.14, 0.0
2.0, 444.47, 21.68, 41.14, 0.0
2.5, 465.04, 21.68, 41.14, 0.0
3.0, 485.61, 21.68, 41.14, 0.0
3.5, 506.18, 21.68, 41.14, 0.0
4.0, 526.75, 21.68, 41.14, 0.0
4.5, 547.32, 21.68, 41.14, 0.0
5.0, 567.89, 21.68, 41.14, 0.0

Vehicle ID: 2 (Car - Moderate-speed vehicle in lane 2)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 162.75, 9.39, -32.48, 3.14
0.5, 146.51, 9.39, -32.48, 3.14
1.0, 130.27, 9.39, -32.48, 3.14
1.5, 114.03, 9.39, -32.48, 3.14
2.0, 97.79, 9.39, -32.48, 3.14
2.5, 81.55, 9.39, -32.48, 3.14
3.0, 65.31, 9.39, -32.48, 3.14
3.5, 49.07, 9.39, -32.48, 3.14
4.0, 32.83, 9.39, -32.48, 3.14
4.5, 16.59, 9.39, -32.48, 3.14
5.0, 0.35, 9.39, -32.48, 3.14

Vehicle ID: 3 (Car - Slowing down in lane 5)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 182.08, 21.64, 36.13, 0.0
0.5, 200.14, 21.64, 36.13, 0.0
1.0, 217.20, 21.64, 34.13, 0.0
1.5, 233.30, 21.64, 32.20, 0.0
2.0, 248.40, 21.64, 30.20, 0.0
2.5, 262.50, 21.64, 28.20, 0.0
3.0, 275.60, 21.64, 26.20, 0.0
3.5, 287.70, 21.64, 24.20, 0.0
4.0, 298.80, 21.64, 22.20, 0.0
4.5, 308.90, 21.64, 20.20, 0.0
5.0, 318.00, 21.64, 18.20, 0.0

Vehicle ID: 4 (Car - High-speed vehicle in lane 3)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 267.34, 13.12, 42.76, 0.0
0.5, 288.72, 13.12, 42.76, 0.0
1.0, 310.10, 13.12, 42.76, 0.0
1.5, 331.48, 13.12, 42.76, 0.0
2.0, 352.86, 13.12, 42.76, 0.0
2.5, 374.24, 13.12, 42.76, 0.0
3.0, 395.62, 13.12, 42.76, 0.0
3.5, 417.00, 13.12, 42.76, 0.0
4.0, 438.38, 13.12, 42.76, 0.0
4.5, 459.76, 13.12, 42.76, 0.0
5.0, 481.14, 13.12, 42.76, 0.0

Vehicle ID: 5 (Car - High-speed vehicle in lane 3)
Time (s), X (m), Y (m), Velocity (m/s), Heading (rad)
0.0, 309.40, 13.81, 43.40, 0.0
0.5, 331.10, 13.81, 43.40, 0.0
1.0, 352.80, 13.81, 43.40, 0.0
1.5, 374.50, 13.81, 43.40, 0.0
2.0, 396.20, 13.81, 43.40, 0.0
2.5, 417.90, 13.81, 43.40, 0.0
3.0, 439.60, 13.81, 43.40, 0.0
3.5, 461.30, 13.81, 43.40, 0.0
4.0, 483.00, 13.81, 43.40, 0.0
